,position,name,score,ratings,category,price_range,full_address,zip_code,lat,lng,is_food
149,84,El Patron,4.7,19,"Mexican, Latin American, New Mexican",2,"2991 Highway 95, Helena, AL, 35080",35080,33.268466,-86.83202,0
8548,210,Gogi Yogi,4.6,39,"Korean, Asian, BBQ",2,"1921 8th St NW, Washington, DC, 20001",20001,38.91651,-77.02291,0
13730,22,Panda Gourmet,4.8,384,"Chinese, Group Friendly",2,"2305 New York Avenue Northeast, Washington, DC, 20002",20002,38.91798765,-76.9708317,0
11447,221,Don Pepe Mexican Restaurant  2102 W Hundred Rd ,4.3,48,"Mexican, Latin American, New Mexican",2,"2102 W Hundred Rd, Chester, VA, 23836",23836,37.354774,-77.39971,0
9259,116,Grove,4.9,42,"Healthy, Salads",2,"2673 C Avenir Pl, Vienna, VA, 22031",22031,38.881616,-77.2286269,0
18376,68,Chili's  113 E. Hwy 114 ,4.7,92,"American, Burgers, Salads, Family Meals, Healthy, Comfort Food, Pasta, Sandwiches, Steak, Wings",2,"113 E. Hwy 114, Roanoke, TX, 76262-6900",76262-6900,33.01089,-97.2193,0
9120,262,Super Pollo,4.7,417,"American, Family Meals, Family Friendly",2,"550 N Quincy St, Arlington, VA, 22203",22203,38.8778998,-77.108076,0
14231,40,Black Bear Diner  310 E Gentile ,4.5,54,"American, Burgers, Comfort Food, Family Meals",2,"310 E Gentile, Layton, UT, 84041",84041,41.0588238,-111.9603961,0
6704,222,Buster's American Kitchen  Auburn ,3.5,11,"American, Burgers, Wings",2,"1101 Outlet Collection Drive SW, Auburn, WA, 98001",98001,47.29903,-122.24615,0
11818,2,Sonic  113 West Main Street *,4.5,22,"American, burger, Fast Food, Hot Dog, Sandwich",2,"113 West Main Street, Radford, VA, 24141",24141,37.13543,-80.57319,0
17651,1,Whataburger  103 E Hwy 80 ,4.9,14,"Fast Food, American, Burgers",2,"103 E Hwy 80, White Oak, TX, 75693",75693,32.52099,-94.86066,0
8744,251,Sumo Japanese Restaurant,4.7,92,"Japanese, Sushi, Asian, Family Friendly, Allergy Friendly",2,"2016 Eisenhower Ave, Alexandria, VA, 22314",22314,38.800079,-77.0641415,0
3098,11,Gangnam Korean Restaurant,4.8,200,"Korean, Family Friendly, Group Friendly",2,"19505 44th Ave W, Lynnwood, WA, 98036",98036,47.8220839,-122.2914862,0
17420,18,La Madeleine Country French Cafe  6140 Camp Bowie ,4.8,150,"Bakery, Cafe, Salads",2,"6140 Camp Bowie, Fort Worth, TX, 76116",76116,32.7290636,-97.4156908,0
